write_ratio ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
     0.4971 ,0.06395252324037184  ,3884.100009360681  ,  10.017700000000483 ,      1.0 ,            0.0 ,    0.0 ,2449.179524859172   ,                       0.217042 ,             0.1552   ,              0.015129 ,            4.205572
     0.504  ,0.06089956767542401  ,3876.8375240654686 ,  10.159300000000476 ,      1.0 ,            0.0 ,    0.0 ,2485.089463220676   ,                       0.205575 ,             0.156715 ,              0.014189 ,            4.166254
     0.5091 ,0.0648968773295784   ,3891.998595766907  ,  10.014000000000477 ,      1.0 ,            0.0 ,    0.0 ,2458.2104228121925  ,                       0.205503 ,             0.155705 ,              0.014112 ,            4.168637
     0.5071 ,0.06348417039615448  ,3922.7931542552105 ,  10.198400000000444 ,      1.0 ,            0.0 ,    0.0 ,2473.410833539451   ,                       0.207033 ,             0.161655 ,              0.014505 ,            4.143358
     0.5032 ,0.06132665832290363  ,3849.8245057499053 ,  10.869300000000623 ,      1.0 ,            0.0 ,    0.0 ,2475.860361475613   ,                       0.205065 ,             0.155973 ,              0.014136 ,            4.138989
     0.5029 ,0.06368552412645591  ,3849.8052383529916 ,   9.913800000000286 ,      1.0 ,            0.0 ,    0.0 ,2414.2926122646068  ,                       0.224281 ,             0.171788 ,              0.014252 ,            4.241583
     0.4995 ,0.06128655945337889  ,3833.4430336948144 ,   9.36800000000038  ,      1.0 ,            0.0 ,    0.0 ,2442.0024420024424  ,                       0.209844 ,             0.155481 ,              0.014145 ,            4.195961
     0.5056 ,0.06204804255672845  ,3908.214793921788  ,   9.906300000000392 ,      1.0 ,            0.0 ,    0.0 ,2423.06760358614    ,                       0.206366 ,             0.153084 ,              0.013919 ,            4.241572
     0.5029 ,0.062453160129902575 ,3845.9127370091796 ,  10.538900000000424 ,      1.0 ,            0.0 ,    0.0 ,2354.0489642184557  ,                       0.211684 ,             0.160834 ,              0.013915 ,            4.372401
     0.5006 ,0.06230724347753605  ,3865.771147894353  ,  10.25420000000047  ,      1.0 ,            0.0 ,    0.0 ,2357.9344494223064  ,                       0.2051   ,             0.154173 ,              0.013697 ,            4.385236
