write_ratio ,hot_key_ratio         ,trans_arrival_rate ,execution_delay    ,blocksize ,early_execution ,reorder ,throughput
     0.5081 ,0.006619208192831272  ,1477.0357133942177 ,13.663900000000174 ,     50.0 ,            1.0 ,    0.0 ,1385.2014652014652
     0.4942 ,0.0069218580602118255 ,1481.6926501228768 ,13.37440000000025  ,      1.0 ,            0.0 ,    0.0 ,1481.4814814814813
     0.4978 ,0.006250781347668459  ,1511.5830340524892 ,11.311800000000336 ,      1.0 ,            0.0 ,    0.0 ,1475.7969303423847
     0.4953 ,0.007335472846246822  ,1489.1465046157584 ,11.410800000000236 ,      1.0 ,            0.0 ,    0.0 ,1449.905756125852
     0.5033 ,0.006797614579423662  ,1474.0116272985183 ,11.604800000000044 ,      1.0 ,            0.0 ,    0.0 ,1466.0606949127696
     0.5003 ,0.007192450006236228  ,1496.4159341960071 ,11.829100000000052 ,      1.0 ,            0.0 ,    0.0 ,1466.7057788207685
     0.5043 ,0.006681421472418257  ,1485.049781096237  ,14.655400000000126 ,      1.0 ,            0.0 ,    0.0 ,1456.23998835008
     0.4914 ,0.006765221748935104  ,1464.6070386085062 ,15.07289999999974  ,      1.0 ,            0.0 ,    0.0 ,1474.9262536873155
     0.4934 ,0.007422233341672921  ,1499.428642715693  ,14.576699999999724 ,      1.0 ,            0.0 ,    0.0 ,1490.0908955446282
