write_ratio         ,hot_key_ratio       ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,blocksize * early_execution ,throughput           ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.20066225165562915 ,0.10933856914958891 ,3045.5018139896233 ,  5081.142384105924  ,     50.0 ,            1.0 ,    0.0 ,50.0                        , 971.8367346938776   ,                       0.097837 ,             0        ,              0        ,                  0.186192 ,            3.037361
0.20346666666666666 ,0.10868489422244217 ,3089.1096938733485 ,  5080.758266666661  ,    400.0 ,            1.0 ,    0.0 ,400.0                       , 358.0092011710581   ,                       0.100719 ,             0.149522 ,              0.01348  ,                  0.112168 ,            2.785808
0.20180555555555554 ,0.10875996912786211 ,3020.6968076269236 ,  5082.060555555532  ,    400.0 ,            0.0 ,    0.0 ,-400.0                      , 193.0643547849283   ,                       0.093635 ,             0.153599 ,              0.014086 ,                  0.158883 ,           15.513283
0.21443888491779842 ,0.1091710182767624  ,2911.050652073265  ,  5106.436025732663  ,    850.0 ,            0.0 ,    1.0 ,-850.0                      , 604.7132058692753   ,                       0.050433 ,             0.149592 ,              0.01332  ,                  0.126529 ,           12.541946
0.20897058823529413 ,0.11157193364155561 ,3075.799922833608  ,  5095.606470588216  ,      1.0 ,            1.0 ,    1.0 ,1.0                         , 166.81172033652453  ,                       0.087083 ,             0.149389 ,              0.01392  ,                  0.094354 ,            7.136041
0.20454847719111585 ,0.10970671248005891 ,3031.8734594707853 ,  5078.310812608051  ,    950.0 ,            0.0 ,    1.0 ,-950.0                      , 584.2795528562626   ,                       0.146613 ,             0.15699  ,              0.014165 ,                  0.192877 ,           12.092994
0.201416089183489   ,0.11159097241571468 ,3089.0237279648786 ,  5094.965652304888  ,    700.0 ,            0.0 ,    1.0 ,-700.0                      , 675.1543209876543   ,                       0.097575 ,             0.166937 ,              0.014081 ,                  0.097554 ,           14.927876
0.2037142857142857  ,0.10750560612056458 ,3156.6624517707073 ,  5095.447285714265  ,    700.0 ,            0.0 ,    1.0 ,-700.0                      , 661.625708884688    ,                       0.092266 ,             0.152104 ,              0.013505 ,                  0.090101 ,           14.345243
0.20785714285714285 ,0.10900473933649289 ,3054.5410115767104 ,  5096.453714285682  ,    700.0 ,            0.0 ,    1.0 ,-700.0                      , 692.1783842578859   ,                       0.089892 ,             0.156668 ,              0.01557  ,                  0.08375  ,           13.507535
0.1982857142857143  ,0.10907284768211921 ,3106.1399067536804 ,  5095.167714285683  ,    600.0 ,            0.0 ,    1.0 ,-600.0                      , 778.4625364904314   ,                       0.093276 ,             0.15265  ,              0.014114 ,                  0.084362 ,           12.815959
0.19125             ,0.1065721649484536  ,3059.662136808543  ,  5095.1519444444275 ,    550.0 ,            0.0 ,    1.0 ,-550.0                      , 808.3663086489541   ,                       0.099351 ,             0.151438 ,              0.014068 ,                  0.12573  ,           11.428998
0.20503496503496504 ,0.1061016511867905  ,3098.865511837233  ,  5098.09426573425   ,    550.0 ,            0.0 ,    1.0 ,-550.0                      , 767.2497049039596   ,                       0.093225 ,             0.15335  ,              0.013775 ,                  0.111476 ,           12.170457
0.20937062937062936 ,0.11138358286009292 ,3065.189945319584  ,  5097.855104895102  ,    600.0 ,            0.0 ,    0.0 ,-600.0                      , 192.17698407409875  ,                       0.095198 ,             0.152306 ,              0.013786 ,                  0.127899 ,           18.034307
0.205               ,0.11285327138985675 ,3068.045412185509  ,  5104.04875         ,    550.0 ,            0.0 ,    1.0 ,-550.0                      , 791.4545052025682   ,                       0.034432 ,             0.154425 ,              0.013853 ,                  0.147937 ,            9.367879
0.20461538461538462 ,0.10933057637632464 ,3107.2852148850693 ,  5098.173286713225  ,    300.0 ,            0.0 ,    1.0 ,-300.0                      ,1028.6654779865587   ,                       0.095537 ,             0.153118 ,              0.013683 ,                  0.080859 ,           10.303123
0.20893333333333333 ,0.10862875430822255 ,3130.9893216565524 ,  5097.738400000013  ,    550.0 ,            0.0 ,    1.0 ,-550.0                      , 819.672131147541    ,                       0.098107 ,             0.149326 ,              0.013827 ,                  0.126046 ,           10.662758
0.20223776223776224 ,0.10695291218056817 ,3068.3429403222317 ,  5097.746993006962  ,    300.0 ,            0.0 ,    1.0 ,-300.0                      ,1040.7993338884262   ,                       0.10703  ,             0.154804 ,              0.014105 ,                  0.107553 ,           10.354577
0.20893333333333333 ,0.10929974064468322 ,3119.7730801852395 ,  5098.47733333336   ,     10.0 ,            1.0 ,    1.0 ,10.0                        ,1471.157724889068    ,                       0.098939 ,             0.150892 ,              0.013752 ,                  0.14867  ,            4.198323
