write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s) ,optimal_action_predicted
0.1975              ,0.05547309833024119  ,1622.7462286160587 ,  5084.925600000059  ,    160.0 ,            0.0 ,    0.0 ,195.6646087694037  ,                       0.125394 ,             0        ,              0.015471 ,           51.223146 ,      457.2894078358637
0.20453629032258064 ,0.055793392275476965 ,1547.2183914356472 ,  5078.37590725798   ,     70.0 ,            0.0 ,    0.0 ,195.90453103135656 ,                       0.126378 ,             0.174069 ,              0.014068 ,           51.270889 ,      380.6667962662081
0.20150905432595573 ,0.05552973977695167  ,1544.4783345737847 ,  5078.072132796749  ,    160.0 ,            0.0 ,    0.0 ,195.521917376222   ,                       0.123671 ,             0.170578 ,              0.013781 ,           51.257396 ,      498.1597887395767
0.2028225806451613  ,0.055270042982620074 ,1553.0354563317585 ,  5078.524697580605  ,    110.0 ,            0.0 ,    0.0 ,195.76049988135728 ,                       0.128358 ,             0.177093 ,              0.014519 ,           51.170112 ,      347.9565800409923
0.198989898989899   ,0.054769490254872565 ,1551.5458803870965 ,  5077.271212121113  ,    650.0 ,            0.0 ,    0.0 ,194.42062653293186 ,                       0.124226 ,             0.177085 ,              0.014455 ,           50.76948  ,      274.89502988620967
0.1963076923076923  ,0.05588347296268088  ,1544.345525373676  ,  5077.997948717938  ,    900.0 ,            1.0 ,    0.0 ,169.28502725232448 ,                       0.122639 ,             0.172932 ,              0.013968 ,            6.312314 ,      202.5730071394322
0.20020202020202021 ,0.05551405359977589  ,1629.4493843643963 ,  5084.669696969733  ,    190.0 ,            0.0 ,    0.0 ,195.6164492050607  ,                       0.125917 ,             0.178774 ,              0.014597 ,           51.029725 ,      307.29019678771556
0.19655870445344129 ,0.054382507507507505 ,1541.879507422558  ,  5077.379352226652  ,    500.0 ,            0.0 ,    0.0 ,194.74955207603023 ,                       0.126175 ,             0.180753 ,              0.015251 ,           51.935438 ,      220.35103329170263
0.1956              ,0.05521929416146755  ,1551.7808314410659 ,  5079.1355999999405 ,    600.0 ,            0.0 ,    0.0 ,194.67088453583162 ,                       0.122249 ,             0.177135 ,              0.014177 ,           49.873439 ,      222.94735978459386
0.19760416666666666 ,0.05549657368979828  ,1552.0725180016161 ,  5078.99781249989   ,     50.0 ,            1.0 ,    0.0 ,391.90245427544164 ,                       0.12094  ,             0.178858 ,              0.014602 ,            6.525363 ,      225.19668925570005
0.2026              ,0.057572950440018526 ,1593.7486801768741 ,  5085.410200000029  ,     50.0 ,            1.0 ,    0.0 ,363.53846153846155 ,                       0.125288 ,             0.173469 ,              0.013812 ,            6.60103  ,      221.7372332506021
0.2048              ,0.05699123211813567  ,1574.617915026374  ,  5082.245200000031  ,     10.0 ,            1.0 ,    0.0 ,455.4719347757918  ,                       0.125999 ,             0.174614 ,              0.014205 ,            6.523599 ,      375.8483949714462
0.199               ,0.05474554234769688  ,1585.369952419877  ,  5082.523600000054  ,     20.0 ,            1.0 ,    0.0 ,420.78418871533313 ,                       0.134579 ,             0.178224 ,              0.014637 ,            6.378939 ,      424.1292801289204
0.1984              ,0.054263926346135964 ,1617.3886096377598 ,  5084.690800000017  ,      1.0 ,            1.0 ,    0.0 ,482.71604938271605 ,                       0.130927 ,             0.174326 ,              0.014705 ,            6.597016 ,      427.71821174781275
0.2017              ,0.05743931813970724  ,1561.1859205384467 ,  5081.125500000016  ,    950.0 ,            1.0 ,    0.0 ,164.7503285151117  ,                       0.181767 ,             0.175776 ,              0.014366 ,            6.18353  ,      464.598750175452
0.19778947368421052 ,0.05560980373010448  ,1589.6833233685288 ,  5082.786421052655  ,      1.0 ,            1.0 ,    0.0 ,487.40279937791604 ,                       0.128608 ,             0.19723  ,              0.014806 ,            6.52085  ,      479.0863273053985
0.1991              ,0.054642525533890436 ,1577.8325881755964 ,  5081.4222000000445 ,      1.0 ,            1.0 ,    0.0 ,439.45979509469106 ,                       0.176336 ,             0.176154 ,              0.014332 ,            6.535329 ,      467.5708609489174
0.1998              ,0.05484646688864225  ,1573.1497320768692 ,  5079.375400000047  ,     20.0 ,            1.0 ,    0.0 ,417.42543171114596 ,                       0.183264 ,             0.174879 ,              0.014555 ,            6.481364 ,      443.96861138961185
0.2052              ,0.05419741697416974  ,1602.2680424594623 ,  5083.352100000011  ,     10.0 ,            1.0 ,    0.0 ,435.8813373096845  ,                       0.14166  ,             0.1821   ,              0.015262 ,            6.45854  ,      444.3847753070983
0.2008              ,0.055622285872678555 ,1592.5532211379589 ,  5083.604000000054  ,      1.0 ,            1.0 ,    0.0 ,534.5629262244266  ,                       0.131886 ,             0.175821 ,              0.013983 ,            6.546279 ,      471.34887641478423
0.1987              ,0.0554523499907115   ,1568.8130015691268 ,  5081.362800000024  ,      1.0 ,            1.0 ,    0.0 ,468.520782396088   ,                       0.174263 ,             0.174741 ,              0.013996 ,            6.638303 ,      485.48887037618283
0.2029              ,0.05584835876098012  ,1566.3569091455038 ,  5081.341400000046  ,     10.0 ,            1.0 ,    0.0 ,455.06060129072875 ,                       0.185427 ,             0.178102 ,              0.014353 ,            6.488914 ,      499.92655021836885
0.2044              ,0.05515252976190476  ,1602.931954897342  ,  5083.679500000035  ,      1.0 ,            1.0 ,    0.0 ,450.91643367505435 ,                       0.137868 ,             0.175507 ,              0.014662 ,            6.526803 ,      465.8349920444293
0.2091              ,0.054756637168141595 ,1581.3481878856712 ,  5080.78170000004   ,      1.0 ,            1.0 ,    0.0 ,499.7686256362795  ,                       0.181034 ,             0.176314 ,              0.017982 ,            6.586728 ,      472.7168552408529
0.2019              ,0.054624571798907506 ,1566.8897395359186 ,  5080.507700000021  ,      1.0 ,            1.0 ,    0.0 ,478.08641975308643 ,                       0.183768 ,             0.177641 ,              0.014318 ,            6.578825 ,      501.898576244017
0.1997              ,0.05477228457471477  ,1561.5557467593815 ,  5080.497300000047  ,      1.0 ,            0.0 ,    0.0 ,194.69646820606673 ,                       0.180059 ,             0.173412 ,              0.014727 ,           52.238375 ,      490.6155229472287
0.1911              ,0.05434176273707698  ,1539.1413653630702 ,  5076.366300000008  ,      1.0 ,            1.0 ,    0.0 ,507.0808588396528  ,                       0.192002 ,             0.175124 ,              0.016223 ,            6.644043 ,      475.7091368881546
0.2041              ,0.05413394919168591  ,1557.7600283138463 ,  5081.024200000028  ,      1.0 ,            1.0 ,    0.0 ,469.60814563406353 ,                       0.181198 ,             0.203024 ,              0.014314 ,            6.583143 ,      500.58404481679713
0.2025              ,0.056585411066827324 ,1566.2528887576716 ,  5080.874600000021  ,      1.0 ,            1.0 ,    0.0 ,456.74261083743846 ,                       0.18178  ,             0.177349 ,              0.014796 ,            6.630328 ,      479.2629067795481
0.2058              ,0.055780746199907874 ,1562.7744622649354 ,  5080.033600000055  ,      1.0 ,            1.0 ,    0.0 ,464.90025887010813 ,                       0.187513 ,             0.186225 ,              0.015401 ,            6.677282 ,      467.1038521617473
0.2025              ,0.05506669136717303  ,1562.4331083325496 ,  5080.433800000053  ,      1.0 ,            1.0 ,    0.0 ,510.86788962540464 ,                       0.185727 ,             0.178055 ,              0.015236 ,            6.575997 ,      483.45748561773706
0.202               ,0.05538077172203202  ,1564.2509834445932 ,  5079.0035000000335 ,      1.0 ,            1.0 ,    0.0 ,469.2746034190667  ,                       0.193467 ,             0.17915  ,              0.017071 ,            6.594627 ,      483.0327561747778
0.2035              ,0.05756594169366034  ,1569.8838505734313 ,  5081.3759000000455 ,      1.0 ,            1.0 ,    0.0 ,552.357624004899   ,                       0.183104 ,             0.180887 ,              0.014632 ,            6.600298 ,      482.75293790248725
0.1994              ,0.057900583171341294 ,1564.4120047971128 ,  5080.258600000014  ,    650.0 ,            1.0 ,    0.0 ,202.55531318167652 ,                       0.182959 ,             0.175621 ,              0.014414 ,            6.492255 ,      464.7951176196413
0.1996923076923077  ,0.05603201829616924  ,1550.4063336722495 ,  5081.350461538481  ,      1.0 ,            1.0 ,    0.0 ,499.69240233774224 ,                       0.127331 ,             0.178726 ,              0.01442  ,            6.601219 ,      496.7767695135634
0.2051              ,0.05460672082717873  ,1558.885820655175  ,  5079.6163000000215 ,      1.0 ,            1.0 ,    0.0 ,445.90012330456227 ,                       0.174882 ,             0.176198 ,              0.014303 ,            6.627131 ,      490.2853363387436
0.1988              ,0.054267161410018555 ,1568.5063991924073 ,  5081.852000000027  ,      1.0 ,            1.0 ,    0.0 ,491.98273203823624 ,                       0.181529 ,             0.182513 ,              0.015225 ,            6.576476 ,      484.93420451426215
0.2084              ,0.05443213296398892  ,1572.0492164592295 ,  5081.979600000047  ,      1.0 ,            1.0 ,    0.0 ,491.8541505042669  ,                       0.186675 ,             0.179237 ,              0.015211 ,            6.561452 ,      487.4536102807704
0.2031              ,0.05495879248078526  ,1569.9969808958058 ,  5079.779300000034  ,      1.0 ,            1.0 ,    0.0 ,524.3076923076923  ,                       0.18017  ,             0.176423 ,              0.014813 ,            6.64252  ,      482.0175069911755
0.1988              ,0.056332808301677015 ,1566.336545576321  ,  5078.958800000031  ,      1.0 ,            1.0 ,    0.0 ,496.54537079686776 ,                       0.186128 ,             0.17595  ,              0.017123 ,            6.57995  ,      486.5212086573241
0.2041              ,0.057686986996218756 ,1564.9092266578532 ,  5079.221100000057  ,      1.0 ,            1.0 ,    0.0 ,473.4123366757824  ,                       0.185557 ,             0.177029 ,              0.014617 ,            6.656941 ,      484.7294711547476
0.1996              ,0.056480710519011934 ,1549.7105295701817 ,  5079.324700000058  ,      1.0 ,            1.0 ,    0.0 ,434.3480934809348  ,                       0.18     ,             0.200536 ,              0.015229 ,            6.605041 ,      508.6023736790241
0.2024              ,0.05570966250577901  ,1565.8460172080213 ,  5080.0835000000425 ,      1.0 ,            1.0 ,    0.0 ,494.91054904380013 ,                       0.180858 ,             0.193767 ,              0.014596 ,            6.543608 ,      472.30998683329307
0.2027              ,0.05635558017169759  ,1559.6502266015814 ,  5079.710500000054  ,      1.0 ,            1.0 ,    0.0 ,491.14158065013095 ,                       0.179675 ,             0.175219 ,              0.014445 ,            6.551411 ,      487.0814617930051
0.1979              ,0.05505265102530944  ,1570.465449838627  ,  5081.510200000039  ,      1.0 ,            1.0 ,    0.0 ,505.5900621118012  ,                       0.18016  ,             0.177937 ,              0.014405 ,            6.54864  ,      480.4893125965651
0.1965              ,0.054935861684327944 ,1560.0047236943033 ,  5079.979800000034  ,      1.0 ,            1.0 ,    0.0 ,518.8213514347424  ,                       0.184073 ,             0.179675 ,              0.014582 ,            6.59502  ,      480.9957647683459
0.198               ,0.05785047592643933  ,1571.872782676956  ,  5082.062600000047  ,      1.0 ,            0.0 ,    0.0 ,194.5563143251814  ,                       0.180218 ,             0.177195 ,              0.014441 ,           52.372699 ,      497.4398696957427
0.198               ,0.05659590247520163  ,1541.4453022758823 ,  5077.863000000015  ,      1.0 ,            1.0 ,    0.0 ,469.9074074074074  ,                       0.184738 ,             0.180882 ,              0.014644 ,            6.594134 ,      485.7118791037748
0.2025              ,0.05480911786508525  ,1572.4941833440157 ,  5081.1528000000535 ,      1.0 ,            1.0 ,    0.0 ,495.5902831502398  ,                       0.1859   ,             0.180587 ,              0.014949 ,            6.55667  ,      480.12034236056934
0.211               ,0.055433186490455214 ,1572.843164101176  ,  5079.483600000038  ,      1.0 ,            1.0 ,    0.0 ,459.3147751605996  ,                       0.189048 ,             0.201232 ,              0.014915 ,            6.620943 ,      479.46836085136
0.1988              ,0.054857195674276736 ,1563.2366752832272 ,  5081.011000000007  ,      1.0 ,            1.0 ,    0.0 ,458.8957055214724  ,                       0.181397 ,             0.175454 ,              0.014142 ,            6.587186 ,      484.19050363476686
0.1958              ,0.058034885878641675 ,1570.3835708983427 ,  5081.367700000067  ,      1.0 ,            1.0 ,    0.0 ,471.6486902927581  ,                       0.198396 ,             0.178211 ,              0.016907 ,            6.58277  ,      480.6536475056819
0.2068              ,0.05698835274542429  ,1569.0099202221215 ,  5080.1415000000325 ,      1.0 ,            1.0 ,    0.0 ,468.8605259111179  ,                       0.180157 ,             0.176973 ,              0.014811 ,            6.642011 ,      485.70924326407186
0.2074              ,0.05634906008109104  ,1568.3580624190824 ,  5078.496100000056  ,      1.0 ,            1.0 ,    0.0 ,497.3789700894234  ,                       0.186632 ,             0.181751 ,              0.015003 ,            6.586699 ,      485.43539057117937
0.2043              ,0.05751152073732719  ,1560.5200901356404 ,  5080.630700000025  ,      1.0 ,            1.0 ,    0.0 ,463.8218923933209  ,                       0.187145 ,             0.182017 ,              0.015031 ,            6.60175  ,      480.9093997569829
0.2073              ,0.05622378911470575  ,1564.960901016849  ,  5079.8051000000405 ,      1.0 ,            1.0 ,    0.0 ,535.1418002466091  ,                       0.186107 ,             0.175908 ,              0.014851 ,            6.618396 ,      480.00025005307856
0.2035              ,0.05575073964497041  ,1561.2268682772597 ,  5079.580900000044  ,      1.0 ,            1.0 ,    0.0 ,495.98021026592454 ,                       0.181112 ,             0.177477 ,              0.015043 ,            6.613236 ,      482.8271637999836
0.2016              ,0.0552065046659891   ,1555.7826652517342 ,  5080.354400000043  ,      1.0 ,            1.0 ,    0.0 ,468.17058096415326 ,                       0.17966  ,             0.173541 ,              0.014669 ,            6.603323 ,      482.5494657702563
0.2021              ,0.055338904363974005 ,1561.7193843264906 ,  5080.746300000024  ,     10.0 ,            1.0 ,    0.0 ,427.14039755830333 ,                       0.18497  ,             0.178943 ,              0.014971 ,            6.468161 ,      475.51234365199366
0.1965              ,0.05522581841788     ,1591.2329429773717 ,  5083.088400000032  ,      1.0 ,            1.0 ,    0.0 ,527.3034917704969  ,                       0.142263 ,             0.179276 ,              0.014342 ,            6.563404 ,      486.05315836087027
0.1943              ,0.056262776435606766 ,1569.4339553941759 ,  5081.894700000036  ,      1.0 ,            1.0 ,    0.0 ,488.28245451742214 ,                       0.175341 ,             0.175874 ,              0.014643 ,            6.609603 ,      485.09965519123546
0.1938              ,0.05543133966834358  ,1557.538509750269  ,  5081.025100000044  ,      1.0 ,            1.0 ,    0.0 ,462.509505703422   ,                       0.184876 ,             0.176138 ,              0.015037 ,            6.640841 ,      493.1171135903259
0.2035              ,0.05643372157515252  ,1555.4172616785784 ,  5079.508600000054  ,      1.0 ,            1.0 ,    0.0 ,485.9654534238125  ,                       0.189058 ,             0.184596 ,              0.015437 ,            6.577173 ,      488.2353128368587
0.2012              ,0.05461951490464729  ,1568.0118065016982 ,  5080.207200000034  ,      1.0 ,            1.0 ,    0.0 ,537.4306839186692  ,                       0.180665 ,             0.180776 ,              0.014913 ,            6.596925 ,      489.32393608683066
0.1969              ,0.0559573481687529   ,1563.7214130224531 ,  5080.698300000062  ,      1.0 ,            1.0 ,    0.0 ,488.61538461538464 ,                       0.180701 ,             0.178091 ,              0.014974 ,            6.603657 ,      485.09862368234326
0.2044              ,0.057315721411416956 ,1569.9767690537483 ,  5082.11000000004   ,     10.0 ,            1.0 ,    0.0 ,425.2837326607818  ,                       0.179716 ,             0.179015 ,              0.014651 ,            6.403716 ,      484.28964618935476
0.1989              ,0.05640978140051871  ,1612.232848986341  ,  5084.405500000015  ,      1.0 ,            1.0 ,    0.0 ,459.8864856573094  ,                       0.141426 ,             0.178282 ,              0.015628 ,            6.609549 ,      490.43378943671655
