write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput         ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.2018              ,0.056289860430723725 ,1570.1451347953896 ,  5083.100500000034  ,    190.0 ,            0.0 ,    0.0 ,195.53127906746622 ,                       0.128723 ,             0        ,              0.015393 ,           51.119213
0.20232793522267206 ,0.055383750351419736 ,1548.9974709637445 ,  5077.690384615451  ,    160.0 ,            0.0 ,    0.0 ,195.56046209044672 ,                       0.137196 ,             0.161419 ,              0.01466  ,           51.245433
0.19375             ,0.05564916222035009  ,1556.8696874960765 ,  5078.292338709597  ,    100.0 ,            1.0 ,    0.0 ,330.9497901445671  ,                       0.129637 ,             0.191555 ,              0.015896 ,            6.518254
0.1982              ,0.05614279091330552  ,1594.5374972235118 ,  5083.285800000045  ,    130.0 ,            0.0 ,    0.0 ,195.66681189844337 ,                       0.130812 ,             0.157947 ,              0.013673 ,           51.031
0.20678137651821862 ,0.055383750351419736 ,1566.483344778069  ,  5078.07621457483   ,    200.0 ,            0.0 ,    0.0 ,195.25148391127772 ,                       0.128054 ,             0.159074 ,              0.014169 ,           51.811324
0.199               ,0.05592105263157895  ,1555.7603973412056 ,  5082.520699999913  ,    120.0 ,            1.0 ,    0.0 ,314.56953642384104 ,                       0.131754 ,             0.158024 ,              0.014616 ,            6.426985
0.20150602409638554 ,0.054755712428014115 ,1600.939217674369  ,  5084.097991967925  ,    160.0 ,            1.0 ,    0.0 ,285.1899138206192  ,                       0.136612 ,             0.203986 ,              0.016052 ,            6.355435
0.19616935483870968 ,0.05523827356989046  ,1621.2313317336748 ,  5084.355947580689  ,    160.0 ,            1.0 ,    0.0 ,291.7918709473351  ,                       0.127744 ,             0.168532 ,              0.013945 ,            6.460712
0.19254032258064516 ,0.055394810528280755 ,1587.6940904009327 ,  5084.396572580685  ,    130.0 ,            0.0 ,    0.0 ,195.6164492050607  ,                       0.126946 ,             0.157304 ,              0.014132 ,           51.119287
0.2007085020242915  ,0.05463994756063302  ,1544.8055366580945 ,  5077.8149797570395 ,    100.0 ,            1.0 ,    0.0 ,337.2129112352576  ,                       0.131713 ,             0.15958  ,              0.015651 ,            6.544651
0.1998              ,0.05421574993043317  ,1588.8493283060022 ,  5083.4054000000515 ,    110.0 ,            1.0 ,    0.0 ,331.28238341968915 ,                       0.131872 ,             0.157113 ,              0.014361 ,            6.279753
0.201010101010101   ,0.05475032728632878  ,1625.7001184297903 ,  5085.922525252551  ,     70.0 ,            1.0 ,    0.0 ,391.0006497725796  ,                       0.127563 ,             0.155812 ,              0.014039 ,            6.26309
0.19637826961770624 ,0.05598059339428998  ,1630.7181361121382 ,  5084.568812877309  ,    140.0 ,            0.0 ,    0.0 ,195.6423327494243  ,                       0.128949 ,             0.15594  ,              0.014399 ,           51.340935
0.20583501006036217 ,0.05604651162790698  ,1547.703202219724  ,  5078.059859154868  ,     80.0 ,            1.0 ,    0.0 ,340.01518602885346 ,                       0.133595 ,             0.160531 ,              0.015822 ,            6.643028
0.201               ,0.05403151065801668  ,1549.9399165791338 ,  5082.893200000045  ,     40.0 ,            1.0 ,    0.0 ,408.3834180921559  ,                       0.131634 ,             0.158594 ,              0.014199 ,            6.597551
