write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.4994              ,0.06244782100517616  ,3647.3906931720117 ,  11.662100000000228 ,      1.0 ,            1.0 ,    0.0 , 137.84683684794672 ,                       0.12885  ,             0        ,              0.016432 ,            4.605376
0.5028              ,0.06421903650608435  ,3531.795518928481  ,  11.602700000000356 ,     70.0 ,            1.0 ,    0.0 , 396.981396981397   ,                       0.185046 ,             0.170991 ,              0.014942 ,            2.950192
0.493158953722334   ,0.06268442795717055  ,3587.084043502596  ,  10.961569416499263 ,      1.0 ,            1.0 ,    0.0 , 133.89031705227077 ,                       0.145285 ,             0.169388 ,              0.017483 ,            4.773018
0.4992              ,0.06252077102027252  ,3492.9250802499537 ,  11.212400000000327 ,     60.0 ,            1.0 ,    0.0 , 396.34574841883347 ,                       0.182274 ,             0.169254 ,              0.014199 ,            2.946709
0.5046184738955823  ,0.06230257689110557  ,3588.8645747717956 ,  10.376405622490239 ,    350.0 ,            1.0 ,    0.0 , 356.3300142247511  ,                       0.136287 ,             0.171452 ,              0.014365 ,            2.958532
0.5092857142857142  ,0.06238361266294227  ,3613.212263684857  ,  11.187448979592117 ,    190.0 ,            1.0 ,    0.0 , 378.96613190730835 ,                       0.131681 ,             0.169457 ,              0.014804 ,            2.904919
0.4993927125506073  ,0.06258451656524679  ,3625.950206308493  ,  10.705060728745213 ,     80.0 ,            1.0 ,    0.0 , 395.3809031368494  ,                       0.125939 ,             0.169758 ,              0.014214 ,            3.015853
0.503               ,0.06235931638182576  ,3566.7586652618397 ,  10.527300000000228 ,     80.0 ,            1.0 ,    0.0 , 411.46013117017606 ,                       0.130077 ,             0.171092 ,              0.014359 ,            2.974846
0.5083              ,0.062074688796680495 ,3575.1339423931518 ,  11.309800000000347 ,     80.0 ,            1.0 ,    0.0 , 426.79810149689666 ,                       0.133771 ,             0.177326 ,              0.016335 ,            2.839261
0.5028              ,0.06102935062775422  ,3676.5016763009394 ,  12.445000000000295 ,     90.0 ,            1.0 ,    0.0 , 401.37531668476294 ,                       0.132399 ,             0.170949 ,              0.014191 ,            2.888186
0.4987987987987988  ,0.06297661945864409  ,3654.238111472186  ,  11.746546546546908 ,      1.0 ,            1.0 ,    0.0 , 129.66101694915255 ,                       0.135137 ,             0.170577 ,              0.01431  ,            4.820184
0.5089              ,0.06413025419504902  ,3499.889578483799  ,  11.894800000000298 ,     60.0 ,            1.0 ,    0.0 , 408.05785123966945 ,                       0.184557 ,             0.171292 ,              0.014158 ,            2.964749
0.5018072289156627  ,0.06324292650259501  ,3523.6193939162376 ,  11.221686746988196 ,     80.0 ,            1.0 ,    0.0 , 410.85814360770576 ,                       0.140246 ,             0.190465 ,              0.014573 ,            2.96414
0.4988              ,0.06082042695688573  ,3615.905500479288  ,  11.442400000000275 ,     80.0 ,            1.0 ,    0.0 , 416.28801118490037 ,                       0.128386 ,             0.172574 ,              0.014282 ,            2.962317
0.4966              ,0.06229249667994688  ,3536.9321146008447 ,  10.638800000000215 ,     80.0 ,            1.0 ,    0.0 , 409.4215448562521  ,                       0.128281 ,             0.170315 ,              0.014176 ,            3.035686
0.5027              ,0.0627444453690605   ,3583.040180929197  ,  10.666400000000277 ,     80.0 ,            1.0 ,    0.0 , 437.27469358327323 ,                       0.129232 ,             0.173311 ,              0.014471 ,            2.857025
0.5072              ,0.060739876687218794 ,3674.554956276471  ,  12.407800000000332 ,     80.0 ,            1.0 ,    0.0 , 388.1294964028777  ,                       0.128487 ,             0.170368 ,              0.014442 ,            2.893852
0.5149              ,0.06354598177299088  ,3698.807578412871  ,  12.154600000000356 ,     80.0 ,            1.0 ,    0.0 , 400.981423063442   ,                       0.128989 ,             0.171437 ,              0.014362 ,            2.95381
0.5037              ,0.06229235880398671  ,3622.000756998158  ,  11.166700000000276 ,      1.0 ,            1.0 ,    0.0 , 136.30434782608697 ,                       0.131854 ,             0.176157 ,              0.014918 ,            4.654448
0.4951              ,0.06211387543830356  ,3528.318816065565  ,  11.021700000000285 ,     80.0 ,            1.0 ,    0.0 , 378.3303730017762  ,                       0.181995 ,             0.170494 ,              0.014497 ,            2.952047
0.5038              ,0.06182212581344902  ,3640.088439588728  ,  11.552300000000312 ,     50.0 ,            1.0 ,    0.0 , 409.7174362508615  ,                       0.13451  ,             0.172391 ,              0.014164 ,            2.988795
0.5024              ,0.06205527056097965  ,3588.088836773892  ,  11.662300000000265 ,     80.0 ,            1.0 ,    0.0 , 393.37979094076655 ,                       0.132937 ,             0.174073 ,              0.014945 ,            2.949544
0.4997              ,0.06219093118766239  ,3600.538928666843  ,  10.772000000000332 ,     60.0 ,            1.0 ,    0.0 , 386.6913123844732  ,                       0.127434 ,             0.170901 ,              0.014562 ,            2.785022
0.5021084337349397  ,0.06268768768768769  ,3773.5563116139156 ,  12.430923694779512 ,     50.0 ,            1.0 ,    0.0 , 404.7959914101647  ,                       0.127168 ,             0.169115 ,              0.014199 ,            2.894748
0.5086              ,0.06261922534627187  ,3717.825934364014  ,  13.803400000000167 ,    110.0 ,            1.0 ,    0.0 , 398.57784431137725 ,                       0.128997 ,             0.170356 ,              0.014    ,            2.771029
