write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput           ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.19453333333333334 ,0.0557476231633535   ,2996.255878654034  ,  5080.2294666666785 ,     50.0 ,            1.0 ,    0.0 ,1463.0443467838595   ,                       0.100395 ,             0        ,              0        ,                  0.206344 ,            3.027674
0.20706666666666668 ,0.05515750463248919  ,2993.493342869938  ,  5080.605466666704  ,    700.0 ,            0.0 ,    1.0 , 873.688155922039    ,                       0.097562 ,             0.154061 ,              0.014199 ,                  0.206611 ,            8.411861
0.20134420134420133 ,0.05576923076923077  ,3019.719506792102  ,  5096.803803803764  ,    350.0 ,            1.0 ,    0.0 , 659.1004623791508   ,                       0.091251 ,             0.154652 ,              0.014848 ,                  0.176454 ,            5.036473
0.18816326530612246 ,0.05506272969205424  ,3105.902397756651  ,  5081.490340136043  ,    190.0 ,            0.0 ,    0.0 , 194.03982360016036  ,                       0.102648 ,             0.153382 ,              0.013946 ,                  0.178834 ,           15.346817
0.19025604551920342 ,0.056855636123928806 ,2934.001656897095  ,  5107.918207681359  ,     90.0 ,            0.0 ,    1.0 ,1541.4775072224515   ,                       0.03848  ,             0.150193 ,              0.014025 ,                  0.194719 ,            4.952476
0.200669344042838   ,0.05434782608695652  ,3139.8454372203246 ,  5094.696921017412  ,    120.0 ,            0.0 ,    1.0 ,1615.6351791530944   ,                       0.092399 ,             0.152904 ,              0.014137 ,                  0.143954 ,            5.778409
0.20362903225806453 ,0.05677723940862219  ,3114.4575715854303 ,  5095.227956989262  ,    140.0 ,            0.0 ,    0.0 , 194.26623897353647  ,                       0.09602  ,             0.151942 ,              0.014056 ,                  0.186802 ,           16.123637
0.18821428571428572 ,0.05683717820127048  ,2934.0201734844213 ,  5107.305714285697  ,     90.0 ,            1.0 ,    1.0 ,1142.3436376707405   ,                       0.073592 ,             0.164509 ,              0.01389  ,                  0.086566 ,            2.791917
0.19450980392156864 ,0.05494971525505877  ,3095.863723721074  ,  5083.834509803918  ,    110.0 ,            0.0 ,    1.0 ,1542.113955408753    ,                       0.095531 ,             0.155649 ,              0.013726 ,                  0.095981 ,            4.959374
0.20575635876840695 ,0.05481067659838609  ,3131.346793513459  ,  5098.876840696106  ,    130.0 ,            0.0 ,    1.0 ,1509.7799511002445   ,                       0.099336 ,             0.154492 ,              0.014021 ,                  0.114258 ,            6.061014
0.19919028340080971 ,0.05622188905547226  ,3101.7330776601125 ,  5096.366126855622  ,    120.0 ,            0.0 ,    1.0 ,1556.4853556485357   ,                       0.095365 ,             0.157183 ,              0.014409 ,                  0.125567 ,            5.983151
0.19422043010752688 ,0.05465536582325813  ,3192.165807270415  ,  5096.1616935484    ,    130.0 ,            0.0 ,    1.0 ,1562.302340290955    ,                       0.098758 ,             0.152557 ,              0.014012 ,                  0.097485 ,            5.930264
0.19824561403508772 ,0.05403377110694184  ,3276.6080694764723 ,  5092.151417004047  ,    120.0 ,            0.0 ,    1.0 ,1552.5876460767947   ,                       0.094877 ,             0.155666 ,              0.014441 ,                  0.121839 ,            6.009587
0.2021505376344086  ,0.05670359765965393  ,3138.463173888999  ,  5094.85228494625   ,    120.0 ,            1.0 ,    1.0 ,  23.252732692944683 ,                       0.095649 ,             0.153726 ,              0.014122 ,                  0.077652 ,           16.267912
0.19722222222222222 ,0.057692307692307696 ,3073.1473083284427 ,  5080.843055555557  ,    120.0 ,            0.0 ,    1.0 ,1533.7976239246211   ,                       0.024811 ,             0.153626 ,              0.014128 ,                  0.160408 ,            4.888012
