write_ratio         ,hot_key_ratio       ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,blocksize * early_execution ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.5048              ,0.06439982249833592 ,1491.0812466313992 ,  1085.2648000000038 ,     50.0 ,            1.0 ,    0.0 ,50.0                        , 552.7286851815887  ,                       0.099438 ,             0        ,              0        ,                  0.163536 ,            6.616136
0.5078666666666667  ,0.06331078833573567 ,1469.153649965328  ,  1084.3988000000118 ,    400.0 ,            1.0 ,    0.0 ,400.0                       , 110.37126715092816 ,                       0.114933 ,             0.163087 ,              0.014158 ,                  0.103929 ,            6.230407
0.5058333333333334  ,0.06541084017103894 ,1468.6261675323062 ,  1085.3094444444528 ,    400.0 ,            0.0 ,    0.0 ,-400.0                      , 838.8901841921194  ,                       0.10907  ,             0.17343  ,              0.019702 ,                  0.052704 ,            9.774348
0.4920789327404113  ,0.06692271880819367 ,1422.2277034777776 ,  1120.6053362979417 ,    850.0 ,            0.0 ,    1.0 ,-850.0                      , 730.3189775534314  ,                       0.117098 ,             0.158994 ,              0.014997 ,                  0.616287 ,           12.084689
0.5051470588235294  ,0.06597774244833068 ,1463.303679197352  ,  1114.4139705882324 ,    400.0 ,            0.0 ,    0.0 ,-400.0                      , 822.4596499204364  ,                       0.091338 ,             0.149083 ,              0.013242 ,                  0.119738 ,           11.371287
0.49083333333333334 ,0.06597142198663286 ,1415.8813113892706 ,  1118.497916666667  ,    350.0 ,            0.0 ,    1.0 ,-350.0                      ,1581.3253012048192  ,                       0.096188 ,             0.172301 ,              0.015533 ,                  0.464517 ,            7.46816
0.5016326530612245  ,0.06503416856492027 ,1479.5561573088264 ,  1118.7304761904754 ,    300.0 ,            0.0 ,    1.0 ,-300.0                      ,1418.3055975794252  ,                       0.099081 ,             0.162378 ,              0.014379 ,                  0.075485 ,            6.618899
0.5                 ,0.06438173536273747 ,1453.3137491231673 ,  1116.7905333333338 ,     20.0 ,            0.0 ,    1.0 ,-20.0                       ,1465.702560093805   ,                       0.106058 ,             0.151781 ,              0.013981 ,                  0.103455 ,            6.365335
0.49946666666666667 ,0.06564028457092042 ,1468.2335916576142 ,  1115.315200000004  ,    150.0 ,            0.0 ,    1.0 ,-150.0                      ,1442.0303787733128  ,                       0.102207 ,             0.159984 ,              0.014524 ,                  0.138346 ,            6.498204
0.5006666666666667  ,0.06788410301953819 ,1454.494115310742  ,  1115.8608000000006 ,    800.0 ,            0.0 ,    1.0 ,-800.0                      , 754.7961002201489  ,                       0.104271 ,             0.157042 ,              0.015103 ,                  0.143496 ,           10.801507
0.5006944444444444  ,0.06578796561604584 ,1505.6603418476334 ,  1117.1772222222164 ,    250.0 ,            0.0 ,    1.0 ,-250.0                      ,1414.027149321267   ,                       0.095563 ,             0.150733 ,              0.013751 ,                  0.136477 ,            7.774905
0.4941333333333333  ,0.06662605228178999 ,1481.890995654898  ,  1115.4723999999972 ,    400.0 ,            0.0 ,    1.0 ,-400.0                      ,1410.9347442680776  ,                       0.107676 ,             0.15361  ,              0.014597 ,                  0.113844 ,            6.444344
0.5047222222222222  ,0.06860249884312818 ,1484.4353857233189 ,  1117.3219444444462 ,    350.0 ,            0.0 ,    1.0 ,-350.0                      ,1402.9394922695171  ,                       0.09435  ,             0.153833 ,              0.014141 ,                  0.140765 ,            6.666166
0.49727891156462584 ,0.06865739169777174 ,1480.5441392509172 ,  1115.5575510204048 ,    350.0 ,            0.0 ,    1.0 ,-350.0                      ,1411.8325009604303  ,                       0.099448 ,             0.150549 ,              0.0137   ,                  0.15469  ,            6.389424
0.5046258503401361  ,0.06405191873589165 ,1465.735004284533  ,  1113.4436734693859 ,    300.0 ,            0.0 ,    1.0 ,-300.0                      ,1388.11771238201    ,                       0.096227 ,             0.151551 ,              0.013877 ,                  0.137503 ,            6.724602
0.5                 ,0.06460923623445826 ,1428.3951238018622 ,  1118.1062666666667 ,    350.0 ,            0.0 ,    1.0 ,-350.0                      ,1393.3649289099526  ,                       0.098158 ,             0.152238 ,              0.014094 ,                  0.088151 ,            6.567163
0.5034013605442177  ,0.06719882246376811 ,1448.855689833705  ,  1119.480816326528  ,    350.0 ,            0.0 ,    1.0 ,-350.0                      ,1405.8913542463658  ,                       0.09723  ,             0.154636 ,              0.01462  ,                  0.127794 ,            6.544354
0.5031292517006802  ,0.06848615524285066 ,1458.8708577743823 ,  1117.7327891156426 ,    350.0 ,            0.0 ,    0.0 ,-350.0                      , 848.5338259062572  ,                       0.096663 ,             0.153053 ,              0.013574 ,                  0.126765 ,            9.645924
0.494421768707483   ,0.06419879449562152 ,1410.5279116606519 ,  1116.5180952381004 ,     50.0 ,            0.0 ,    1.0 ,-50.0                       ,1563.4771732332708  ,                       0.098722 ,             0.152514 ,              0.013998 ,                  0.522747 ,            7.201189
0.49906666666666666 ,0.06526071072733311 ,1422.9884350883904 ,  1113.3301333333395 ,    150.0 ,            0.0 ,    1.0 ,-150.0                      ,1446.2013112225222  ,                       0.101249 ,             0.157442 ,              0.01484  ,                  0.14926  ,            6.498028
0.4924              ,0.06481275078020508 ,1463.3132729342651 ,  1116.3774666666636 ,     50.0 ,            0.0 ,    1.0 ,-50.0                       ,1467.997651203758   ,                       0.102665 ,             0.157931 ,              0.013978 ,                  0.118316 ,            6.293353
