write_ratio         ,hot_key_ratio        ,trans_arrival_rate ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,episode_duration (s)
0.1982              ,0.05465212972373649  ,3029.493329358638  ,  1083.7034999999878 ,     20.0 ,            1.0 ,    1.0 ,2070.63420498948    ,                       0.128157 ,             0.153121 ,              0.013915 ,            3.329372
0.196               ,0.05527777777777778  ,3011.8567765723324 ,  1084.0370999999786 ,     20.0 ,            1.0 ,    1.0 ,2173.5436893203882  ,                       0.131633 ,             0.153893 ,              0.015506 ,            3.321714
0.1968              ,0.055565871321140096 ,3037.6799901336153 ,  1083.9132999999897 ,     20.0 ,            1.0 ,    1.0 ,2177.191906805641   ,                       0.131395 ,             0.152203 ,              0.015844 ,            3.305839
0.2026              ,0.05698189878093831  ,3073.8756838604927 ,  1082.8632999999888 ,     20.0 ,            1.0 ,    1.0 ,2312.5194159676917  ,                       0.132179 ,             0.159162 ,              0.014041 ,            3.233227
0.2004              ,0.054304696871828    ,3118.576706539749  ,  1084.1820999999957 ,     20.0 ,            1.0 ,    1.0 ,2214.0904949893716  ,                       0.129218 ,             0.158156 ,              0.014157 ,            3.341442
0.2023              ,0.05597291782600631  ,3050.7830292261965 ,  1083.243499999997  ,     20.0 ,            1.0 ,    1.0 ,2163.8837353123067  ,                       0.128923 ,             0.157533 ,              0.014158 ,            3.235072
0.2027              ,0.054843503297111545 ,3098.4789566801655 ,  1084.4113999999838 ,     20.0 ,            1.0 ,    1.0 ,2142.5525434054216  ,                       0.124972 ,             0.150247 ,              0.013822 ,            3.285181
0.197               ,0.0559684161634928   ,3085.0676555336863 ,  1083.7414999999892 ,     20.0 ,            1.0 ,    1.0 ,2259.546724619683   ,                       0.144495 ,             0.163496 ,              0.014102 ,            3.220763
0.2021              ,0.05596704008888066  ,3122.653131006228  ,  1084.7892999999872 ,     20.0 ,            1.0 ,    1.0 ,2225.438866646135   ,                       0.128918 ,             0.156647 ,              0.014931 ,            3.296381
0.1923              ,0.05604048658185533  ,3120.6895475624297 ,  1084.6359999999868 ,     20.0 ,            1.0 ,    1.0 ,2094.385432473445   ,                       0.124969 ,             0.170581 ,              0.014185 ,            3.294838
0.1974              ,0.05624942177814784  ,3087.6548150124245 ,  1084.9846999999895 ,     20.0 ,            1.0 ,    1.0 ,2213.911972914743   ,                       0.124758 ,             0.152456 ,              0.014003 ,            3.248342
0.2028              ,0.05689893862482695  ,3099.1962854273    ,  1085.257199999996  ,     20.0 ,            1.0 ,    1.0 ,2219.587311364336   ,                       0.149705 ,             0.170526 ,              0.016291 ,            3.248213
0.2063              ,0.05597565473994836  ,3087.818801852197  ,  1084.6272999999899 ,     20.0 ,            1.0 ,    1.0 ,2094.471445929526   ,                       0.130293 ,             0.160204 ,              0.013945 ,            3.29355
0.2013              ,0.055139235822000185 ,3066.719864033908  ,  1083.9669999999842 ,     20.0 ,            1.0 ,    1.0 ,2066.869300911854   ,                       0.125145 ,             0.150915 ,              0.013961 ,            3.291826
0.2053              ,0.05658729429070516  ,3045.5668576541643 ,  1082.9426999999828 ,     20.0 ,            1.0 ,    1.0 ,2231.1649016641454  ,                       0.124953 ,             0.151228 ,              0.013956 ,            3.352325
0.1958              ,0.05501993139890609  ,3029.471302727191  ,  1082.6264999999923 ,     20.0 ,            1.0 ,    1.0 ,2156.288156288156   ,                       0.134605 ,             0.165772 ,              0.01459  ,            3.317381
0.2014              ,0.055277546103234175 ,3058.760626899108  ,  1082.1921999999959 ,     20.0 ,            1.0 ,    1.0 ,2181.161600962985   ,                       0.131936 ,             0.180513 ,              0.015482 ,            3.323239
