write_ratio         ,hot_key_ratio        ,execution_delay (us) ,blocksize ,early_execution ,reorder ,throughput          ,feature_extraction_overhead (s) ,training_overhead (s) ,inference_overhead (s) ,communication_overhead (s) ,episode_duration (s)
0.20066666666666666 ,0.05504248245289989  ,  5080.725733333353  ,     50.0 ,            1.0 ,    0.0 ,1630.2555647155812  ,                       0.100172 ,             0        ,              0        ,                  0.245963 ,            2.876363
0.18874172185430463 ,0.05635873560401862  ,  5081.4851655629045 ,    700.0 ,            0.0 ,    1.0 , 871.375            ,                       0.103394 ,             0.166939 ,              0.014307 ,                  0.141989 ,            8.427314
0.2021079618287993  ,0.05570204350692155  ,  5094.948582822939  ,    350.0 ,            1.0 ,    0.0 , 534.1614906832298  ,                       0.095719 ,             0.158371 ,              0.014025 ,                  0.159929 ,            5.062502
0.20111801242236024 ,0.05542791499138426  ,  5083.710062111804  ,    190.0 ,            1.0 ,    1.0 ,   0.0              ,                       0.112089 ,             0.159366 ,              0.014186 ,                  0.114316 ,           15.439882
0.19714285714285715 ,0.08042895442359249  ,  5081.122857142858  ,     90.0 ,            1.0 ,    1.0 , 117.6548701945422  ,                       0.010162 ,             0.159384 ,              0.013868 ,                  0.142615 ,           15.051911
0.2026388888888889  ,0.056544569672131145 ,  5079.885416666667  ,    850.0 ,            0.0 ,    1.0 , 772.1130918587488  ,                       0.091323 ,             0.163719 ,              0.014939 ,                  0.152766 ,            8.838902
0.1913235294117647  ,0.054779512462339086 ,  5095.070441176452  ,     20.0 ,            1.0 ,    0.0 ,1671.2707182320441  ,                       0.091323 ,             0.158713 ,              0.014205 ,                  0.130567 ,            5.216005
0.20119760479041915 ,0.05520452278017958  ,  5083.150419161699  ,    550.0 ,            0.0 ,    1.0 ,1021.5177162530484  ,                       0.1149   ,             0.160096 ,              0.014767 ,                  0.090374 ,            7.426907
0.19226999019745133 ,0.05491366999870181  ,  5093.832096345034  ,    700.0 ,            0.0 ,    1.0 , 857.6329331046312  ,                       0.095581 ,             0.166187 ,              0.01466  ,                  0.100624 ,           10.38986
0.20437086092715231 ,0.058729964517313105 ,  5095.076821192046  ,     60.0 ,            0.0 ,    0.0 , 193.20214669051876 ,                       0.101717 ,             0.156955 ,              0.013974 ,                  0.170254 ,           17.698972
0.2036312849162011  ,0.057379167743603    ,  5105.581564245795  ,    600.0 ,            0.0 ,    1.0 , 969.9582379092011  ,                       0.054103 ,             0.160426 ,              0.014339 ,                  0.193789 ,            7.65399
0.2012396694214876  ,0.05836948201071702  ,  5094.78884297519   ,     20.0 ,            1.0 ,    0.0 ,1652.8166200559328  ,                       0.093535 ,             0.160127 ,              0.014652 ,                  0.123472 ,            4.544685
0.20308641975308642 ,0.05515587529976019  ,  5080.888518518548  ,     20.0 ,            0.0 ,    0.0 , 194.54400637196338 ,                       0.109791 ,             0.16831  ,              0.014445 ,                  0.140838 ,           15.420731
0.19713993871297242 ,0.055819854107199494 ,  5104.740211099747  ,    400.0 ,            0.0 ,    0.0 , 192.8087199255616  ,                       0.044077 ,             0.168262 ,              0.015266 ,                  0.145915 ,           15.024568
0.21382978723404256 ,0.05802103879026956  ,  5106.379787234024  ,     20.0 ,            1.0 ,    0.0 ,1709.3355075417855  ,                       0.036728 ,             0.163837 ,              0.014525 ,                  0.159625 ,            3.593647
0.19974683544303798 ,0.05767659077641565  ,  5081.900506329124  ,     10.0 ,            1.0 ,    0.0 ,1791.8885702580908  ,                       0.116349 ,             0.16     ,              0.014246 ,                  0.078311 ,            2.886419
0.21112582781456954 ,0.05684043073910915  ,  5082.201456953689  ,     20.0 ,            1.0 ,    0.0 ,1680.4040404040404  ,                       0.106486 ,             0.160214 ,              0.014458 ,                  0.188406 ,            2.860096
0.20053262316910786 ,0.056286909448818895 ,  5081.313182423457  ,     10.0 ,            1.0 ,    0.0 ,1791.532258064516   ,                       0.108746 ,             0.162735 ,              0.014745 ,                  0.121607 ,            2.828151
0.20462351387054162 ,0.056279693019856254 ,  5082.448745046283  ,     10.0 ,            1.0 ,    0.0 ,1813.6975132490827  ,                       0.106684 ,             0.162193 ,              0.014964 ,                  0.150032 ,            2.842254
0.19642384105960264 ,0.05685473892600841  ,  5081.130625832241  ,      1.0 ,            1.0 ,    0.0 , 263.0783187178712  ,                       0.117964 ,             0.162666 ,              0.014165 ,                  0.152137 ,            3.630318
0.1929708222811671  ,0.055671751968503935 ,  5080.2155069582595 ,     10.0 ,            1.0 ,    0.0 ,1836.5853658536587  ,                       0.15148  ,             0.159367 ,              0.014282 ,                  0.198985 ,            3.056204
0.1987734968670844  ,0.0567647786297304   ,  5083.094920677258  ,      1.0 ,            1.0 ,    0.0 , 293.69538077403246 ,                       0.110364 ,             0.160862 ,              0.01441  ,                  0.180081 ,            3.514795
0.20279627163781624 ,0.056815380823268424 ,  5080.5456724367505 ,     10.0 ,            0.0 ,    0.0 , 194.218729186093   ,                       0.145163 ,             0.181444 ,              0.016437 ,                  0.13884  ,           15.699509
0.20735444330949948 ,0.057945979899497485 ,  5107.446691806643  ,     10.0 ,            1.0 ,    0.0 ,1711.9741100323624  ,                       0.049773 ,             0.159067 ,              0.014277 ,                  0.140934 ,            2.44083
0.20159786950732356 ,0.05493425095243947  ,  5081.427030625864  ,     10.0 ,            1.0 ,    0.0 ,1818.2184602982668  ,                       0.106165 ,             0.158032 ,              0.014143 ,                  0.178832 ,            2.849462
0.20145310435931307 ,0.05555555555555555  ,  5080.479788639433  ,     10.0 ,            1.0 ,    0.0 ,1753.9779681762545  ,                       0.10832  ,             0.159365 ,              0.014051 ,                  0.17288  ,            2.789146
0.19827127659574467 ,0.05499445744549821  ,  5082.046010638311  ,     10.0 ,            1.0 ,    0.0 ,1809.9273607748182  ,                       0.105286 ,             0.159383 ,              0.01447  ,                  0.118267 ,            2.872818
0.1914780292942743  ,0.05454096742349457  ,  5082.541011984028  ,     10.0 ,            1.0 ,    0.0 ,1907.1194762684124  ,                       0.106851 ,             0.17766  ,              0.016225 ,                  0.086059 ,            2.857225
0.19973368841544606 ,0.05471837944664032  ,  5081.961251664434  ,     10.0 ,            1.0 ,    0.0 ,1755.3665451599838  ,                       0.109427 ,             0.164052 ,              0.015046 ,                  0.176512 ,            2.783782
0.2070572569906791  ,0.05716388616290481  ,  5081.937150466079  ,     10.0 ,            1.0 ,    0.0 ,1850.6308506308505  ,                       0.109452 ,             0.1638   ,              0.014027 ,                  0.146071 ,            2.823479
0.20133155792276963 ,0.05528875754217461  ,  5081.889613848204  ,      1.0 ,            1.0 ,    1.0 , 238.0681818181818  ,                       0.109807 ,             0.164768 ,              0.014841 ,                  0.082263 ,            3.9461
0.19595852166976868 ,0.05583693638048178  ,  5080.468687674481  ,     10.0 ,            1.0 ,    0.0 ,1920.6740649404028  ,                       0.164468 ,             0.171577 ,              0.017001 ,                  0.070316 ,            3.151983
